F_MAMH,NAMHOC,F_MAKH,F_MANG,F_TENMHVN,F_DVHT,TEN_KHKTVN,KHOI,COMPULSARY,avg_TKET,std_TKET,range_TKET,PASS_RATE,LEVEL
CH1003,2020,CK,CK,Hóa đại cương,3,Toán và KH Tự nhiên,DC,1,6.183799342105263,1.670901003103537,10.0,94.16118421052632,1
CI2001,2020,CK,CKT,Sức bền vật liệu,3,Cơ sở ngành,CSN,3,6.1013306038894575,2.459813957007538,10.0,84.03275332650972,2
CI2001,2020,CK,CDT,Sức bền vật liệu,3,Cơ sở ngành,CSN,4,6.1013306038894575,2.459813957007538,10.0,84.03275332650972,2
CI2003,2020,CK,CKT,Cơ lưu chất,3,Cơ sở ngành,CSN,6,6.162132752992383,2.558007253879033,10.0,82.2633297062024,2
CO1003,2020,CK,CKT,Nhập môn về lập trình,3,Cơ sở ngành,CSN,7,6.845971563981043,1.9390361315466194,10.0,91.9431279620853,1
CO1003,2020,CK,CDT,Nhập môn về lập trình,3,Cơ sở ngành,CSN,3,6.845971563981043,1.9390361315466194,10.0,91.9431279620853,1
ME1001,2020,CK,CK,Nhập môn về kỹ thuật,3,Nhập môn,NM,1,8.334771354616048,1.455472881155733,10.0,97.67040552200173,1
ME1003,2020,CK,CDM,Cơ khí đại cương,3,Cơ sở ngành,CSN,2,7.2565543071161045,1.2709537445996335,9.0,98.12734082397003,1
ME1013,2020,CK,CKT,Thực tập cơ khí đại cương 1,2,Cơ sở ngành,CSN,3,0.0,0.0,,0.0,0
ME1013,2020,CK,CDT,Thực tập cơ khí đại cương 1,2,Cơ sở ngành,CSN,2,0.0,0.0,,0.0,0
ME1015,2020,CK,CKT,Nguyên lý máy,4,Cơ sở ngành,CSN,2,0.0,0.0,,0.0,0
ME1015,2020,CK,CDT,Nguyên lý máy,4,Cơ sở ngành,CSN,3,0.0,0.0,,0.0,0
ME2005,2020,CK,CKT,Trang bị điện - điện tử trong máy công nghiệp,4,Cơ sở ngành,CSN,5,6.449701195219124,1.5525715683773695,8.5,95.1195219123506,1
