F_MAMH,NAMHOC,F_MAKH,F_MANG,F_TENMHVN,F_DVHT,TEN_KHKTVN,KHOI,COMPULSARY,avg_TKET,std_TKET,range_TKET,PASS_RATE,LEVEL
AS1003,2016,MT,KHKH,Cơ lý thuyết,3,Tự chọn nhóm A,TC_A,0,3.6166666666666667,2.6803349421851834,10.0,50.0,3
AS2001,2016,MT,KHKH,Cơ học ứng dụng,3,Tự chọn nhóm A,TC_A,0,4.28125,2.8225403222926224,9.5,56.25,3
CH1003,2020,MT,KHM,Hóa đại cương,3,Toán và KH Tự nhiên,DC,5,5.949447077409163,1.5952770018966018,10.0,93.04897314375987,2
CH1003,2016,MT,KHKH,Hóa đại cương,3,Toán & KH Tự nhiên,DC,1,5.949447077409163,1.5952770018966018,10.0,93.04897314375987,2
CO1005,2020,MT,KHM,Nhập môn điện toán,3,Nhập môn,NM,1,7.225037257824143,1.9122618373095979,9.5,94.63487332339791,1
CO1005,2016,MT,KHKH,Nhập môn điện toán,3,Cơ sở ngành,CSN,1,7.225037257824143,1.9122618373095979,9.5,94.63487332339791,1
CO1007,2020,MT,KHM,Cấu trúc rời rạc cho khoa học máy tính,4,Toán và KH Tự nhiên,DC,2,6.677235772357723,1.678413096498224,9.5,94.3089430894309,1
CO1007,2016,MT,KHKH,Cấu trúc rời rạc cho khoa học máy tính,4,Cơ sở ngành,CSN,1,6.677235772357723,1.678413096498224,9.5,94.3089430894309,1
CO1009,2016,MT,KHKH,Hệ thống số,4,Cơ sở ngành,CSN,2,5.532640949554896,2.5343939899217034,10.0,80.56379821958457,2
CO1011,2016,MT,KHKH,Kỹ thuật lập trình,4,Cơ sở ngành,CSN,2,5.916051660516605,2.76462013533599,10.0,77.49077490774908,2
CO1023,2020,MT,KHM,Hệ thống số,3,Cơ sở ngành,CSN,1,5.916666666666667,2.2832616644578514,9.0,78.43137254901961,2
CO1027,2020,MT,KHM,Kỹ thuật lập trình,3,Cơ sở ngành,CSN,2,5.549019607843137,2.658360437832595,10.0,70.58823529411765,2
CO2001,2020,MT,KHM,Kỹ năng chuyên nghiệp cho kỹ sư,3,Con người và môi trường,DC,6,7.988038277511961,1.5705762394013565,10.0,96.65071770334929,1
CO2001,2016,MT,KHKH,Kỹ năng chuyên nghiệp cho kỹ sư,3,Cơ sở ngành,CSN,4,7.988038277511961,1.5705762394013565,10.0,96.65071770334929,1
CO2003,2020,MT,KHM,Cấu trúc dữ liệu và giải thuật,4,Cơ sở ngành,CSN,3,5.69267955801105,2.8727679294174995,10.0,74.30939226519338,2
CO2003,2016,MT,KHKH,Cấu trúc dữ liệu và giải thuật,4,Cơ sở ngành,CSN,3,5.69267955801105,2.8727679294174995,10.0,74.30939226519338,2
CO2005,2016,MT,KHKH,Lập trình hướng đối tượng,4,Cơ sở ngành,CSN,3,7.153516295025729,1.9054138331588555,10.0,94.16809605488851,1
CO2007,2020,MT,KHM,Kiến trúc máy tính,4,Cơ sở ngành,CSN,3,6.264216366158114,2.142304309177542,10.0,87.79472954230236,2
CO2007,2016,MT,KHKH,Kiến trúc máy tính,4,Cơ sở ngành,CSN,3,6.264216366158114,2.142304309177542,10.0,87.79472954230236,2
CO2011,2020,MT,KHM,Mô hình hóa toán học,3,Toán và KH Tự nhiên,DC,3,6.673155737704918,2.0664615970697677,10.0,91.59836065573771,2
CO2011,2016,MT,KHKH,Mô hình hóa toán học,3,Chuyên ngành,CN,4,6.673155737704918,2.0664615970697677,10.0,91.59836065573771,2
CO2013,2020,MT,KHM,Hệ cơ sở dữ liệu,4,Cơ sở ngành,CSN,5,6.394977168949771,1.9596437294539804,10.0,88.35616438356165,1
CO2013,2016,MT,KHKH,Hệ cơ sở dữ liệu,4,Chuyên ngành,CN,4,6.394977168949771,1.9596437294539804,10.0,88.35616438356165,1
CO2017,2020,MT,KHM,Hệ điều hành,3,Chuyên ngành,CN,4,6.253623188405797,2.2430996815500412,9.5,85.71428571428571,2
CO2017,2016,MT,KHKH,Hệ điều hành,3,Cơ sở ngành,CSN,4,6.253623188405797,2.2430996815500412,9.5,85.71428571428571,2
CO2039,2020,MT,KHM,Lập trình nâng cao,3,Cơ sở ngành,CSN,4,5.588235294117647,2.6367657250205188,10.0,68.62745098039215,2
CO3001,2020,MT,KHM,Công nghệ phần mềm,3,Chuyên ngành,CN,5,5.538461538461538,2.5075278931072855,9.5,78.90818858560795,2
CO3001,2016,MT,KHKH,Công nghệ phần mềm,3,Cơ sở ngành,CSN,5,5.538461538461538,2.5075278931072855,9.5,78.90818858560795,2
CO3003,2016,MT,KHKH,Mạng máy tính,4,Cơ sở ngành,CSN,5,5.854046242774566,2.4799949364488487,9.5,83.8150289017341,2
CO3005,2020,MT,KHM,Nguyên lý ngôn ngữ lập trình,4,Chuyên ngành,CN,6,4.039808917197452,2.9219082064987214,10.0,48.089171974522294,3
CO3005,2016,MT,KHKH,Nguyên lý ngôn ngữ lập trình,4,Chuyên ngành,CN,5,4.039808917197452,2.9219082064987214,10.0,48.089171974522294,3
CO3011,2020,MT,KHPM,Quản lý dự án phần mềm,3,Tự chọn chuyên ngành,TC_C,0,5.700980392156863,2.410024242844224,9.0,77.45098039215686,2
CO3011,2020,MT,KHKH,Quản lý dự án phần mềm,3,Tự chọn chuyên ngành,TC_C,0,5.700980392156863,2.410024242844224,9.0,77.45098039215686,2
CO3011,2016,MT,KHKH,Quản lý dự án phần mềm,3,Tự chọn chuyên ngành,TC_D,0,5.700980392156863,2.410024242844224,9.0,77.45098039215686,2
CO3013,2020,MT,KHPM,Xây dựng chương trình dịch,3,Tự chọn chuyên ngành,TC_C,0,5.700980392156863,2.4100242428442242,9.0,77.45098039215686,2
CO3013,2020,MT,KHKH,Xây dựng chương trình dịch,3,Tự chọn chuyên ngành,TC_C,0,5.700980392156863,2.4100242428442242,9.0,77.45098039215686,2
