F_MAMH,F_MAKH,F_MANG,F_DVHT,NAMHOC,COMPULSARY,LEVEL
AS1003,MT,KHKH,3,2016,0,3
AS2001,MT,KHKH,3,2016,0,3
CO2001,MT,KHKH,3,2016,4,1
CO2003,MT,KHKH,4,2016,3,2
CO2005,MT,KHKH,4,2016,3,1
CO2007,MT,KHKH,4,2016,3,2
CO2011,MT,KHKH,3,2016,4,2
CO2013,MT,KHKH,4,2016,4,1
CO2017,MT,KHKH,3,2016,4,2
CO3001,MT,KHKH,3,2016,5,2
CO3003,MT,KHKH,4,2016,5,2
CO3005,MT,KHKH,4,2016,5,3
CO3011,MT,KHKH,3,2016,0,2
CO3013,MT,KHKH,3,2016,0,2
CO3015,MT,KHKH,3,2016,0,2
CO3017,MT,KHKH,3,2016,0,2
CO3021,MT,KHKH,3,2016,0,2
CO3023,MT,KHKH,3,2016,0,2
CO3025,MT,KHKH,4,2016,0,2
CO3027,MT,KHKH,3,2016,0,2
CO3029,MT,KHKH,3,2016,0,2
CO3031,MT,KHKH,3,2016,6,2
CO3033,MT,KHKH,3,2016,0,2
CO3035,MT,KHKH,3,2016,0,2
CO3037,MT,KHKH,3,2016,0,2
CO3041,MT,KHKH,3,2016,0,2
CO3043,MT,KHKH,3,2016,0,2
CO3045,MT,KHKH,3,2016,0,2
CO3047,MT,KHKH,3,2016,0,2
CO3049,MT,KHKH,3,2016,0,2
CO3051,MT,KHKH,3,2016,0,2
CO3055,MT,KHKH,2,2016,6,0
CO3057,MT,KHKH,3,2016,0,2
CO3059,MT,KHKH,3,2016,0,2
CO3061,MT,KHKH,3,2016,0,2
CO3065,MT,KHKH,3,2016,0,1
CO3067,MT,KHKH,3,2016,0,2
CO3069,MT,KHKH,3,2016,0,2
CO3071,MT,KHKH,3,2016,0,2
CO3083,MT,KHKH,3,2016,0,2
CO3085,MT,KHKH,3,2016,0,2
CO3313,MT,KHKH,2,2016,6,0
CO4025,MT,KHKH,3,2016,0,2
CO4027,MT,KHKH,3,2016,0,2
CO4311,MT,KHKH,0,2016,7,0
CO4313,MT,KHKH,9,2016,8,0
IM1013,MT,KHKH,3,2016,0,2
IM2003,MT,KHKH,3,2016,0,3
IM2011,MT,KHKH,3,2016,0,1
IM3001,MT,KHKH,3,2016,0,1
IM3003,MT,KHKH,3,2016,0,1
LA1007,ALL,ALL,2,2016,3,3
LA1009,ALL,ALL,2,2016,4,2
MT1009,MT,KHKH,3,2016,3,2
MT2001,MT,KHKH,3,2016,4,2
PE1007,ALL,ALL,0,2016,4,2
PH1005,MT,KHKH,4,2016,0,1
SP1003,MT,KHKH,5,2016,6,1
SP1005,MT,KHKH,2,2016,7,2
SP1007,MT,KHKH,2,2016,5,1
SP1009,MT,KHKH,3,2016,8,2
