MASV,INDEX_F_MAMH,list_score,list_similarity,prediction,F_MAMH,F_MAKH,TKET
19353,1.0,"8.5,6.0,6.0,8.0,6.5","0.6988008835897682,0.6982949116229777,0.6454066037933697,0.6234024944891811,0.6144258580854497",7.006307100405893,CO2003,MT,2.0
33866,16.0,"5.5,6.0,9.0,9.0,7.5","0.7428349572370649,0.7333759035943085,0.7285743036011765,0.7285743036011765,0.7251370977620758",7.390662502514869,MT1003,MT,5.5
75213,17.0,"6.0,5.0,8.0,7.5,7.0","0.753407938644483,0.7335061905108867,0.7325330248875426,0.7318286858060102,0.7050836204165909",6.693144789491174,CO1011,MT,6.0
75213,20.0,"6.5,7.5,8.5,8.5,8.0","0.7676629016156078,0.7625373512822752,0.7445166160969994,0.7321561419992537,0.7214134242912045",7.786919094654909,PH1005,MT,6.5
96940,34.0,"6.5,5.5,7.5,9.5,9.0","0.799456737136398,0.7886112594253559,0.7823251660548002,0.7692271898180093,0.761684795759078",7.578000132193818,505005,MT,9.0
209204,0.0,"6.0,6.0,7.0,6.0,7.0","0.7983465096046731,0.7983465096046731,0.7973979980005522,0.7973135720616393,0.7737891041037069",6.396244729413669,PE1005,MT,5.0
209204,13.0,"1.5,1.5,6.0,5.5,4.5","0.7604327273231274,0.7604327273231274,0.7561973093106854,0.7445166160969994,0.7339840581519338",3.785384516056039,MT1009,MT,8.0
209204,15.0,"8.5,6.0,1.5,1.5,4.5","0.825599501258673,0.8139473418754974,0.8135772514863984,0.8135772514863984,0.7672126385480813",4.411216626722128,CO2005,MT,0.0
447685,35.0,"8.57,0.0,0.0,0.0,8.5","0.7616561814732157,0.7518201426885993,0.7518201426885993,0.7518201426885993,0.7436471634209098",3.416432177070993,505004,MT,5.5
447685,64.0,"8.57,6.5,6.5,5.5,8.5","0.7238511042917264,0.6324756022337992,0.6324756022337992,0.6231175174284481,0.6046418809683143",7.1480640572678755,505026,MT,7.5
485822,1.0,"6.5,7.0,7.0,8.5,7.0","0.7571597756553327,0.7570368723256772,0.755511107800725,0.7355845187625424,0.7307369739739081",7.1940019314901305,CO2003,MT,8.0
